"","MLS","sold_price","zipcode","longitude","latitude","lot_acres","taxes","year_built","bedrooms","bathrooms","sqrt_ft","garage","kitchen_features","fireplaces","floor_covering","HOA"
"1795","21216125","635000","85718","-110.897571","32.283858","1.7","9610.64","1975","5","5","5769","4","Compactor, Dishwasher, Garbage Disposal, Refrigerator, Oven","2","Carpet, Ceramic Tile, Mexican Tile, Vinyl","0"
"1796","21128857","683000","85739","-110.85832","32.541542","0.3","4159.6","2007","2","3","2599","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","140"
"1797","21222527","611500","85718","-110.930069","32.33961","0.94","6424.27","1997","4","5","3857","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Ceramic Tile","111"
"1798","21304749","695000","85718","-110.94051","32.341289","1.03","9558","2001","3","3","3740","3","Microwave, Oven","1","Concrete, Wood","159"
"1799","21308261","685000","85718","-110.95229","32.310665","0.62","6399.6","2009","5","3","3570","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","6"
"1800","21228252","690000","85718","-110.921839","32.339394","0.9","11744","1989","4","4","5852","3","Dishwasher, Refrigerator, Microwave, Oven","3","Carpet, Mexican Tile","242"
"1801","21304839","675000","85749","-110.77335","32.283282","3.56","6564","1989","6","6","6524","4","Dishwasher, Garbage Disposal, Refrigerator, Oven","4","Ceramic Tile, Mexican Tile","0"
"1802","21713796","690000","85750","-110.864413","32.289071","1.12","5716.71","1986","4","3","3120","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Mexican Tile, Wood","33"
"1803","21701579","699900","85718","-110.889176","32.301645","1.96","8158.68","2002","4","4","4474","4","Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Appliance Color: Stainless","3","Carpet, Ceramic Tile, Natural Stone","0"
"1804","21714748","675000","85743","-111.126254","32.338123","3.42","6495.72","2007","3","4","4024","3","Dishwasher, Double Sink, Garbage Disposal, Island, Prep Sink, Refrigerator","1","Carpet, Ceramic Tile, Wood","15"
"1805","21702139","660000","85749","-110.734295","32.257616","0.84","1043.64","2016","5","5","3469","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Granite","1","Carpet, Natural Stone","125"
"1806","21709453","684000","85747","-110.743143","32.16546","3.31","7361.73","2007","3","3","3340","3","Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Wet Bar, Appliance Color: Black, Countertops: Granite","2","Carpet, Ceramic Tile","116"
